#SampleID	Seq_Run	Myco_Rel_Abund	Latitude	Longitude	pH	Total_Alkalinity	Total_Hardness	Free_Chlorine	Total_Chlorine	Nitrite	Nitrate	Total_Iron	Source of Household Water	Showerhead Installation Time Frame	Frequency of Household Shower Usage	Frequency of Showerhead Cleaning	Showerhead Cleaning Solution	Showerhead Material	Interior Showerhead Finish	Showerhead System Setup	Does the Showerhead Have a Filter?	Showerhead Spray Pattern Description	How is Water Heated	Age of Hot Water Heater	Hot Water Heater Flush Frequency	Description
NTM00378	1	66.81	33.74	-116.29	6.8	180	120	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Targeted Pattern Producing Sharp Pointed Spray	Hot Water Heater	>10 Years	Never	Showerhead
NTM00284	1	86.27	35.68	-80.46	6.2	40	120	0	0	1	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00408	1	64.97	41.27	-74.36	6.8	80	120	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Once a Year	Vinegar	Metal	Brass	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Never	Showerhead
NTM00437	1	53.91	29.72	-82.54	6.5	240	50	0	0	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Electric Tankless Water Heater	6-10 Years	Do Not Know	Showerhead
NTC_1	1	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	Showerhead
NTM00005	1	58.45	40.72	-73.95	6.2	80	120	0	0	0	2	0.15	Municipal Water System	Do Not Know	1-4 times/week	Never	NA	Metal	No Finish	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00115	1	17.92	43.65	-70.27	6.2	40	120	0	0.25	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00440	1	64.82	38.99	-76.91	6.2	80	120	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00490	1	0.02	39.83	-84.00	6.8	240	50	0	0.25	0	1	0.075	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM00240	1	0.65	41.41	-75.64	6.8	80	50	0	2	0	2	0.15	Municipal Water System	More than 6 Months Ago	10-3 times/week	Once Every 6 Months	Water	Combination of Plastic/Metal	Nickel	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00470	1	24.46	32.94	-80.15	6.2	40	120	0	0.5	0	2	0.3	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00225	1	18.83	35.69	-78.61	6.2	80	120	0	10	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00023	1	79.7	40.57	-74.63	6.2	80	120	0	0.5	0	1	0.07	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Every Few Years	Showerhead
NTM00028	1	69.95	35.93	-78.93	6.2	80	120	0	0.75	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Do Not know	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Every Few Years	Showerhead
NTM00124	1	0	36.34	-94.11	7.8	180	25	0	0.5	0	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00355	1	0	35.38	-94.54	6.2	40	50	0	0.7	0	1	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	Dawn/Vinegar	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Gas Tankless Water Heater	<1 Year	Never	Showerhead
NTM00335	1	98.5	39.62	-75.78	6.8	80	120	0.5	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00315	1	6.74	42.36	-71.43	6.8	180	120	0	0.5	0	1	0.15	Municipal Water System	Within the Last 6 Months	1-4 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Yearly	Showerhead
NTM00118	1	15.89	43.95	-72.67	6.6	160	100	0	0	0	0.5	0.1	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	1-5 Years	Never	Showerhead
NTM00298	1	0.49	40.31	-78.58	<6.2	40	250	0	0	0	0	0	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Copper	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00137	1	0	39.89	-83.12	6.2	120	0	2	1	1	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Brass	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Gas Tankless Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00420	1	6.47	35.02	-85.24	6.2	120	250	0.5	0.5	0	2	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00090	1	76.33	33.64	-117.83	7	180	250	0	0.4	0	1	0.1	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not know	Drenching Forced Spray Ideal For Rinsing Shampoo	Do Not Know	Do Not Know	Do Not Know	Showerhead
NTM00445	1	14.28	40.06	-105.16	6.2	60	250	0	0	0	0	0.07	Municipal Water System	Do Not Know	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00324	1	18.43	35.78	-78.83	6.2	40	120	0	2	1	0	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00265	1	24.59	42.71	-84.43	6.8	80	250	0	0	0.3	5	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Yearly	Showerhead
NTM00354	1	84.09	38.96	-94.50	8	200	120	0	1	0	2	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00195	1	0	44.08	-92.50	6.8	240	50	0	0.5	0	2	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	Yes	Fine Misting of Water (Low Flow)	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00303	1	0.02	42.11	-79.28	6.8	160	250	0	0.3	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00293	1	0	35.74	-78.83	6.2	80	120	0	1	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	0	0	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00422	1	1.82	38.43	-78.92	7.2	240	250	0	0	0	1	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00294	1	8.47	44.11	-70.20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Showerhead
NTM00307	1	1.91	29.43	-98.71	6.8	180	120	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	No Finish	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00343	1	14.51	37.41	-77.69	6.2	80	120	0	0.5	0.15	1	0	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Do Not know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Every Few Years	Showerhead
NTM00349	1	6.03	34.16	-118.49	6.6	140	250	0	2	0	2	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Do Not know	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00182	1	15.74	33.65	-117.83	6.8	120	120	0	0.5	0	0	0	Municipal Water System	Do Not Know	10-13 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00089	1	7.56	35.94	-83.89	6.8	80	120	0	0.5	0	0	0.05	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Do Not know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Every Few Years	Showerhead
NTM00138	1	3.08	39.30	-84.36	6.6	100	120	0	0.25	0	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Solid Brass	Brass	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00360	1	0.89	39.98	-105.26	6.2	80	120	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00359	1	15.01	39.50	-80.14	<6.2	40	250	0	0	0	0	0.08	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00308	1	1.16	42.34	-71.15	6.2	100	120	0.25	2	0	0.5	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	6-10 Years	Never	Showerhead
NTM00450	1	14.56	40.06	-75.12	6.2	120	120	0	0	0.15	3.5	0.07	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Do Not Know	Showerhead
NTM00151	1	27.15	37.66	-97.46	6.8	180	120	0	1	0	5	0.15	Municipal Water System	Within the Last 6 Months	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00177	1	25.29	35.83	-78.68	7	50	120	0.7	0.75	0.3	0	0.15	Municipal Water System	Do Not Know	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00174	1	0.05	42.15	-92.03	6.8	180	250	5	0.25	0.075	0	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00371	1	3.05	38.44	-78.88	6.8	140	200	0.2	0.5	0.05	1	0.13	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	Do Not know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00220	1	10.27	43.58	-116.18	6.2	80	120	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Gas Tankless Water Heater	<1 Year	Do Not Know	Showerhead
NTM00027	1	0.49	42.35	-71.13	6.2	30	50	0	0.5	0	0.5	0.1	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM00110	1	14.38	36.07	-80.28	6.2	180	120	0	0	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00206	1	4.02	36.40	-91.70	8.4	240	250	0	0	0	2	0.15	Well-Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Targeted Pattern Producing Sharp Pointed Spray	Electric Tankless Water Heater	>10 Years	Yearly	Showerhead
NTM00305	1	0.01	35.61	-77.36	6.2	40	50	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00340	1	0.03	26.66	-81.98	6.8	240	120	0	0	0	1	0	Well-Water System	More than 6 Months Ago	5-9 times/week	Once a Month	Water	Metal	Chrome	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00499	1	28.79	36.10	-80.30	6	120	250	0.25	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Never	Showerhead
NTM00111	1	4.09	35.37	-85.39	7.2	180	250	0	0.5	0	0	0	Municipal Water System	Do Not Know	14+ times/week	Never	NA	Plastic	No Finish	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00345	1	1.13	43.08	-89.38	6.8	180	120	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Do Not know	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00169	1	0.05	39.39	-76.55	6.4	80	200	0	0	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00439	1	42.25	41.10	-85.11	6.8	120	25	0	0.5	0	2	0	Municipal Water System	More than 6 Months Ago	5-9 times/weel	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not know	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00058	1	0	35.10	-80.86	6.2	40	23	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Do Not know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00421	1	17.06	42.82	-71.63	6.2	80	50	0	0.5	0	0	0.08	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Bronze	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00119	1	19.38	44.78	-94.15	6.8	240	50	0	0.25	0	1	0.15	Municipal Water System	Do Not Know	1-4 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Electric Tankless Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00019	1	9.28	44.94	-93.21	6.2	120	120	0	0.5	0.3	2	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Fine Misting of Water (Low Flow)	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00446	1	24.29	34.05	-117.22	6.8	180	120	0.5	0	0.05	2	0.15	Municipal Water System	Within the Last 6 Months	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed Showerhead w/ Additional Handheld Unit	Yes	Multiple Interchangeable Spray Patterns	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00283	1	10.77	41.27	-73.18	6.2	0	120	0	0	0	1	1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Gas Tankless Water Heater	>10 Years	Never	Showerhead
NTM00269	1	1.59	47.16	-88.40	6.8	120	120	0	0	0	0	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM00232	1	24.06	35.65	-78.44	6.2	180	120	0	0.5	0	0	0	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	<1 Year	Never	Showerhead
NTM00388	1	80.45	35.93	-79.07	6.2	150	50	0	3	0	0	0.075	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00500	1	49.17	38.02	-78.50	6.2	40	120	0	0.5	0	0	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	Nickel	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00310	1	0.19	42.08	-73.95	6.2	60	120	0	0	1	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Plastic	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	>10 Years	Never	Showerhead
NTM00273	1	1.01	27.32	-82.57	6.8	120	425	1	2	0	0	0.1	Municipal Water System	Within the Last 6 Months	1-4 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00333	1	0.33	25.82	-80.13	8.4	240	250	0	0.5	1	1	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Yes	Drenching Forced Spray Ideal For Rinsing Shampoo	Electric Tankless Water Heater	6-10 Years	Never	Showerhead
NTM00466	1	1.64	39.75	-105.04	6.2	120	50	0	0.5	0	1	0.15	Municipal Water System	Do Not Know	10-13 times/week	Never	NA	Metal	Chrome	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00032	1	0.02	39.37	-85.24	7.2	80	120	0	0	0.15	1	0.15	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Chrome	Fixed Showerhead w/ Additional Handheld Unit	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	<1 Year	Every Few Years	Showerhead
NTM00463	1	52.53	39.75	-104.84	6.2	150	120	0	1	0.5	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once a Year	Commercial Cleaning Solution	Combination of Plastic/Metal	Chrome	Fixed/Permanent	Do Not know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00451	1	1.02	40.91	-73.55	6.2	40	180	0	0.5	0	5	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Copper	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00270	1	10.63	38.88	-77.12	6.2	180	120	0	0.5	1	0	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Do Not Know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00436	1	80.23	38.88	-76.99	6.2	120	120	0	4	0	0	0	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Electric Tankless Water Heater	6-10 Years	Do Not Know	Showerhead
NTM00193	1	1.32	33.65	-117.83	7.2	150	200	0	0.5	0	1	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Yes	Fine Misting of Water (Low Flow)	Do Not Know	Do Not Know	Do Not Know	Showerhead
NTM00003	1	28.61	34.14	-118.14	6.6	150	250	0	0.5	0	1	0.075	Municipal Water System	Within the Last 6 Months	5-9 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Yes	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00052	1	13.34	36.07	-79.09	6.2	80	120	0	0.5	1	0	0.7	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not know	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00064	1	0	43.14	-77.86	7	150	120	0	0	0	2	0.15	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	Do Not know	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00242	1	0.71	35.53	-78.64	6.2	80	120	0	1	0	1	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Once a Year	Bleach and Water	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
NTM00459	1	0.01	40.05	-75.89	6.2	150	250	0	0	0	2	0.3	Well-Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	No	Fine Misting of Water (Low Flow)	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00424	1	0.1	38.91	-79.86	6.2	80	250	0.25	0.5	0	0	0.1	Municipal Water System	More than 6 Months Ago	14+ times/week	Never	NA	Combination of Plastic/Metal	Brass	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00075	1	24.45	32.74	-97.42	7	180	120	0	3	0	1	0.2	Municipal Water System	More than 6 Months Ago	1-4 times/week	Never	NA	Plastic	No Finish	Fixed/Permanent	Do Not know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	Do Not Know	Do Not Know	Showerhead
NTM00205	1	0.05	33.25	-96.74	6.2	80	200	0	0.5	0	0.5	0.075	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Hot Water Heater	1-5 Years	Never	Showerhead
NTM00368	1	37.36	35.25	-80.80	6.2	60	120	0.25	0	0	0.5	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Metal	Do Not Know	Fixed/Permanent	No	Wide Coverage That Feels Like Drenching Rain	Gas Tankless Water Heater	1-5 Years	Do Not Know	Showerhead
NTM00382	1	1.5	33.25	-97.14	8.2	150	100	0	8	0	2	0.15	Municipal Water System	More than 6 Months Ago	10-13 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	>10 Years	Do Not Know	Showerhead
NTM00266	1	0.3	19.61	-154.95	6.2	40	120	0	0	0	0	0.15	Unknown/Other	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	No Finish	Fixed/Permanent	No	Multiple Interchangeable Spray Patterns	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00473	1	27.69	45.78	-84.73	7	240	25/425	0	0	0	1	0.6	Municipal Water System	More than 6 Months Ago	5-9 times/week	Never	NA	Combination of Plastic/Metal	Do Not Know	Fixed/Permanent	Do Not Know	Drenching Forced Spray Ideal For Rinsing Shampoo	Hot Water Heater	6-10 Years	Never	Showerhead
NTM00374	1	4.43	37.56	-80.37	6.2	80	250	0	0.25	0	0	0.15	Municipal Water System	More than 6 Months Ago	5-9 times/week	Once a Week	Commercial Cleaning Solution	Combination of Plastic/Metal	Do Not Know	Fixed Showerhead w/ Additional Handheld Unit	Do Not know	Multiple Interchangeable Spray Patterns	Hot Water Heater	>10 Years	Never	Showerhead
